191	B	6333	511
192	B	6367	525
193	I	6400	14259
194	B	6433	510
195	B	6467	517
196	P	6500	595
197	B	6533	542
198	B	6567	552
199	P	6600	718
200	B	6633	528
201	B	6667	530
202	P	6700	640
203	B	6733	521
204	B	6767	492
205	I	6800	13817
206	B	6833	579
207	B	6867	611
208	P	6900	797
209	B	6933	699
210	B	6967	657
211	P	7000	1356
212	B	7033	607
213	B	7067	593
214	P	7100	1146
215	B	7133	694
216	B	7167	629
217	I	7200	15758
218	B	7233	580
219	B	7267	584
220	P	7300	1310
221	B	7333	668
222	B	7367	630
223	P	7400	1865
224	B	7433	586
225	B	7467	596
226	P	7500	1426
227	B	7533	656
228	B	7567	737
229	I	7600	17449
230	B	7633	625
231	B	7667	680
232	P	7700	1672
233	B	7733	606
234	B	7767	674
235	P	7800	1997
236	B	7833	599
237	B	7867	595
238	P	7900	1521
239	B	7933	700
240	B	7967	858
241	I	8000	18849
242	B	8033	615
243	B	8067	574
244	P	8100	1815
245	B	8133	630
246	B	8167	659
247	P	8200	1960
248	B	8233	626
249	B	8267	640
250	P	8300	1624
251	B	8333	776
252	B	8367	886
253	I	8400	19873
254	B	8433	674
255	B	8467	594
256	P	8500	1518
257	B	8533	498
258	B	8567	499
259	P	8600	628
260	B	8633	565
261	B	8667	585
262	P	8700	906
263	B	8733	637
264	B	8767	643
265	I	8800	19997
266	B	8833	555
267	B	8867	555
268	P	8900	1376
269	B	8933	489
270	B	8967	479
271	P	9000	576
272	B	9033	476
273	B	9067	480
274	P	9100	500
275	B	9133	663
276	B	9167	637
277	I	9200	20005
278	B	9233	567
279	B	9267	567
280	P	9300	1374
281	B	9333	496
282	B	9367	499
283	P	9400	598
284	B	9433	472
285	B	9467	472
286	P	9500	483
287	B	9533	603
288	B	9567	603
289	I	9600	19998
290	B	9633	592
291	B	9667	570
292	P	9700	1371
293	B	9733	480
294	B	9767	476
295	P	9800	521
296	B	9833	472
297	B	9867	480
298	P	9900	530
299	B	9933	613
300	B	9967	612
301	I	10000	20005
302	B	10033	574
303	B	10067	573
304	P	10100	1370
305	B	10133	486
306	B	10167	483
307	P	10200	540
308	B	10233	481
309	B	10267	481
310	P	10300	532
311	B	10333	604
312	B	10367	604
313	I	10400	20007
314	B	10433	593
315	B	10467	590
316	P	10500	1377
317	B	10533	481
318	B	10567	498
319	P	10600	534
320	B	10633	470
321	B	10667	470
322	P	10700	477
323	B	10733	604
324	B	10767	601
325	I	10800	20009
326	B	10833	543
327	B	10867	547
328	P	10900	1365
329	B	10933	478
330	B	10967	482
331	P	11000	553
332	B	11033	479
333	B	11067	492
334	P	11100	491
335	B	11133	594
336	B	11167	594
337	I	11200	20008
338	B	11233	543
339	B	11267	545
340	P	11300	1372
341	B	11333	481
342	B	11367	481
343	P	11400	504
344	B	11433	468
345	B	11467	468
346	P	11500	479
347	B	11533	672
348	B	11567	660
349	I	11600	20009
350	B	11633	542
351	B	11667	545
352	P	11700	1355
353	B	11733	482
354	B	11767	482
355	P	11800	513
356	B	11833	468
357	B	11867	468
358	P	11900	469
359	B	11933	599
360	B	11967	599
361	I	12000	20007
362	B	12033	719
363	B	12067	688
364	P	12100	1444
365	B	12133	607
366	B	12167	620
367	P	12200	1137
368	B	12233	571
369	B	12267	590
370	P	12300	1115
371	B	12333	550
372	B	12367	575
373	I	12400	19428
374	B	12433	987
375	B	12467	842
376	P	12500	1318
377	B	12533	598
378	B	12567	594
379	P	12600	1230
380	B	12633	564
381	B	12667	589
382	P	12700	1217
383	B	12733	527
384	B	12767	537
385	I	12800	18401
386	B	12833	924
387	B	12867	772
388	P	12900	1119
389	B	12933	588
390	B	12967	624
391	P	13000	1335
392	B	13033	545
393	B	13067	579
394	P	13100	1200
395	B	13133	532
396	B	13167	550
397	I	13200	17178
398	B	13233	781
399	B	13267	714
400	P	13300	909
401	B	13333	592
402	B	13367	651
403	P	13400	1286
404	B	13433	589
405	B	13467	605
406	P	13500	1163
407	B	13533	567
408	B	13567	634
409	I	13600	15703
410	B	13633	602
411	B	13667	581
412	P	13700	838
413	B	13733	635
414	B	13767	671
415	P	13800	1164
416	B	13833	670
417	B	13867	666
418	P	13900	988
419	B	13933	622
420	B	13967	590
421	I	14000	13824
422	B	14033	513
423	B	14067	60922
424	P	14100	53777
425	B	14133	8877
426	B	14167	9275
427	P	14200	12445
428	B	14233	7284
429	B	14267	7810
430	P	14300	11049
431	B	14333	7704
432	B	14367	7818
433	I	14400	48907
434	B	14433	6531
435	B	14467	7389
436	P	14500	10470
437	B	14533	7362
438	B	14567	7149
439	P	14600	11952
440	B	14633	6684
441	B	14667	7425
442	P	14700	11473
443	B	14733	7562
444	B	14767	7222
445	I	14800	48868
446	B	14833	5848
447	B	14867	5832
448	P	14900	12150
449	B	14933	7431
450	B	14967	6776
451	P	15000	11194
452	B	15033	5732
453	B	15067	6261
454	P	15100	10565
455	B	15133	7236
456	B	15167	6973
457	I	15200	48725
458	B	15233	6120
459	B	15267	7165
460	P	15300	11209
461	B	15333	7024
462	B	15367	7762
463	P	15400	10698
464	B	15433	5847
465	B	15467	5782
466	P	15500	10789
467	B	15533	7044
468	B	15567	6428
469	I	15600	48765
470	B	15633	5906
471	B	15667	6396
472	P	15700	10731
473	B	15733	6907
474	B	15767	6677
475	P	15800	10217
476	B	15833	6268
477	B	15867	6193
478	P	15900	10054
479	B	15933	6636
480	B	15967	6663
481	I	16000	48773
482	B	16033	5351
483	B	16067	5598
484	P	16100	9875
485	B	16133	6314
486	B	16167	6078
487	P	16200	10878
488	B	16233	4812
489	B	16267	5405
490	P	16300	9493
491	B	16333	5947
492	B	16367	6859
493	I	16400	50633
494	B	16433	5777
495	B	16467	5719
496	P	16500	7734
497	B	16533	6427
498	B	16567	6483
499	P	16600	9768
500	B	16633	5901
501	B	16667	5681
502	P	16700	9971
503	B	16733	5853
504	B	16767	5467
505	I	16800	45679
506	B	16833	5535
507	B	16867	6225
508	P	16900	10181
509	B	16933	6263
510	B	16967	6871
511	P	17000	10643
512	B	17033	6282
513	B	17067	6147
514	P	17100	10293
515	B	17133	5980
516	B	17167	6415
517	I	17200	48000
518	B	17233	5552
519	B	17267	6091
520	P	17300	9741
521	B	17333	6419
522	B	17367	6133
523	P	17400	10180
524	B	17433	5985
525	B	17467	5842
526	P	17500	8077
527	B	17533	6130
528	B	17567	7106
529	I	17600	44879
530	B	17633	6610
531	B	17667	7395
532	P	17700	11626
533	B	17733	7477
534	B	17767	7514
535	P	17800	13381
536	B	17833	6561
537	B	17867	7251
538	P	17900	11613
539	B	17933	6453
540	B	17967	7104
541	I	18000	46257
542	B	18033	6524
543	B	18067	7098
544	P	18100	11682
545	B	18133	7859
546	B	18167	8245
547	P	18200	13515
548	B	18233	7048
549	B	18267	6962
550	P	18300	13761
551	B	18333	6651
552	B	18367	6255
553	I	18400	45187
554	B	18433	5626
555	B	18467	6253
556	P	18500	10225
557	B	18533	7753
558	B	18567	7207
559	P	18600	11747
560	B	18633	5712
561	B	18667	6544
562	P	18700	9348
563	B	18733	6442
564	B	18767	6602
565	I	18800	45789
566	B	18833	5192
567	B	18867	6338
568	P	18900	10452
569	B	18933	5661
570	B	18967	6361
571	P	19000	11126
572	B	19033	5328
573	B	19067	5118
574	P	19100	9598
575	B	19133	6240
576	B	19167	5592
577	I	19200	46984
578	B	19233	5595
579	B	19267	5711
580	P	19300	8977
581	B	19333	5540
582	B	19367	5631
583	P	19400	8735
584	B	19433	5211
585	B	19467	5741
586	P	19500	9771
587	B	19533	5735
588	B	19567	5533
589	I	19600	47337
590	B	19633	5959
591	B	19667	6756
592	P	19700	10374
593	B	19733	5696
594	B	19767	5791
595	P	19800	11680
596	B	19833	5142
597	B	19867	5395
598	P	19900	8472
599	B	19933	6373
600	B	19967	6751
601	I	20000	47950
602	B	20033	4860
603	B	20067	4104
604	P	20100	10146
605	B	20133	5784
606	B	20167	6960
607	P	20200	10205
608	B	20233	5939
609	B	20267	5658
610	P	20300	9904
611	B	20333	6152
612	B	20367	6116
613	I	20400	46163
614	B	20433	5842
615	B	20467	6162
616	P	20500	9557
617	B	20533	6316
618	B	20567	5019
619	P	20600	10777
620	B	20633	4868
621	B	20667	4901
622	P	20700	9096
623	B	20733	5949
624	B	20767	5762
625	I	20800	47239
626	B	20833	5293
627	B	20867	5631
628	P	20900	10021
629	B	20933	5034
630	B	20967	4911
631	P	21000	8375
632	B	21033	5158
633	B	21067	4604
634	P	21100	7131
635	B	21133	5729
636	B	21167	6190
637	I	21200	45766
638	B	21233	6697
639	B	21267	7087
640	P	21300	9156
641	B	21333	7101
642	B	21367	7382
643	P	21400	11887
644	B	21433	6597
645	B	21467	7120
646	P	21500	12025
647	B	21533	5675
648	B	21567	6233
649	I	21600	44988
650	B	21633	5773
651	B	21667	7317
652	P	21700	9211
653	B	21733	5464
654	B	21767	6352
655	P	21800	9428
656	B	21833	6596
657	B	21867	6148
658	P	21900	9269
659	B	21933	5749
660	B	21967	6903
661	I	22000	46505
662	B	22033	6145
663	B	22067	6832
664	P	22100	12233
665	B	22133	8427
666	B	22167	7326
667	P	22200	9697
668	B	22233	6322
669	B	22267	5469
670	P	22300	10543
671	B	22333	6593
672	B	22367	6006
673	I	22400	45915
